name,group
Cantes de Ida Y Vuelta,Romance
Cantes de Galajco-Asturiano,Romance
Cantes de Granada,Fandangos
Fandangos de Huelva,Fandangos
Cantes de Malaga,Fandangos
Cantes De Levante,Fandangos
Cantes Autoctonos,Toná
Cantiñas,Toná
Tangos,Toná
Soleares,Toná
Siguiriyas,Toná
Tonás Puras,Toná
